,Operator (or Applicant),Site Name,lat,lon,Technology Type,Installed Capacity (MWelec),Development Status,Planning Authority,Record Last Updated (dd/mm/yyyy)
988,SPGL (Solar Power Generation Limited),Westover Farm,51.16215,-1.50625,Solar Photovoltaics,7,Revised,Test Valley,25/01/2013
1476,Kronos Solar,Eveley Farm,51.10762,-1.5302,Solar Photovoltaics,49,Revised,Test Valley,30/09/2015
4729,Woodington Solar Limited,Woodington Solar Farm,50.98762,-1.56724,Solar Photovoltaics,46,Under Construction,Test Valley,21/01/2022
5484,New Forest Energy (formerly Somerley Estate),Land Adj Harmer Warren Quarry,50.88664,-1.81215,Battery,10,Under Construction,New Forest,09/12/2022
5680,Balanced Grid Solutions,Hamble Lane Battery Energy Storage,50.87805,-1.32732,Battery,6,Planning Permission Granted,Eastleigh,31/01/2020
5683,Nextpower SPV 10 Limited,Hatherden Farm,51.24827,-1.5102,Solar Photovoltaics,49.9,Under Construction,Test Valley,07/07/2023
6029,Woodington Solar Limited,Woodington Solar Farm (Central),50.98762,-1.56724,Solar Photovoltaics,,Under Construction,Test Valley,07/04/2020
6118,Somerley Estate,Hamer Warren Solar Farm,50.89017,-1.81146,Solar Photovoltaics,23,Under Construction,New Forest,30/01/2024
6123,Gerard Hall Energy,"Mill Lane, Nursling - Battery Storage Facility",50.94086,-1.49304,Battery,20,Under Construction,Test Valley,02/03/2022
6403,MDL Marinas,"Saxon House, Lower York Street - Solar Photovoltaic Panels",50.91062,-1.38818,Solar Photovoltaics,,Planning Permission Granted,Southampton,17/05/2021
6550,Renewable Connections Developments Limited,South Park Solar Farm,51.24336,-1.59794,Solar Photovoltaics,15,Planning Permission Granted,Test Valley,08/10/2024
6575,Low Carbon UK Solar Investment Co Limited,Perham Down - Meadow Solar Farm & Battery Storage,51.22513,-1.61889,Solar Photovoltaics,49.9,Planning Permission Granted,Test Valley,09/12/2022
6576,Low Carbon UK Solar Investment Co Limited,Perham Down - Meadow Solar Farm & Battery Storage,51.22513,-1.61889,Battery,,Planning Permission Granted,Test Valley,09/12/2022
6745,Conrad Energy (Developments) Limited,Hound Road,50.87708,-1.33079,Battery,,Planning Application Submitted,Eastleigh,01/09/2021
6830,Unknown,"Upton Lane, Nursling - Battery Storage Facility",50.94922,-1.47178,Battery,50,Planning Permission Granted,Test Valley,22/09/2021
6931,Portsmouth Water,"Allington Lane, West End - Solar panels",50.93917,-1.34272,Solar Photovoltaics,0.5,Planning Permission Granted,Eastleigh,29/11/2021
6934,Portsmouth Water Limited,"Itchen Power, West End - Solar Panels",50.93925,-1.34965,Solar Photovoltaics,0.2,Planning Permission Granted,Eastleigh,28/10/2021
7057,Novus Renewable Services Limited,"Cholderton Road, Quarley - Solar Farm",51.19968,-1.60971,Solar Photovoltaics,22.5,Revised,Test Valley,28/06/2024
7550,Hoaward Tenens Limited,"Howard Tenens, Assent 100, Stephenson Close, - Solar Panels",51.21205,-1.51316,Solar Photovoltaics,0.94,Planning Permission Granted,Test Valley,27/04/2022
7585,Howard Tenens Limited,"Howard Tenens Limited, Plot 4, Portway Business Park -  Solar Panels",51.21716,-1.51455,Solar Photovoltaics,0.7,Planning Permission Granted,Test Valley,09/05/2022
7586,Howard Tenens Limited,"Howard Tenens, Plot 5, West Portway - Solar Panels",51.21327,-1.51267,Solar Photovoltaics,0.59,Planning Permission Granted,Test Valley,09/05/2022
7591,Howard Tenens Limited,"Howard Tenens, Plot 2, West Portway - Solar Panels",51.2127,-1.51148,Solar Photovoltaics,0.3,Planning Permission Granted,Test Valley,09/05/2022
7593,Hoaward Tenens Limited,"Units 1 And 2, Assent 40, Plot 12, Portway Business Park - Solar Panels",51.21327,-1.51267,Solar Photovoltaics,0.36,Planning Permission Granted,Test Valley,09/05/2022
7690,Geo Green Power Limited,Chandlers Ford - Solar panels,50.96508,-1.38678,Solar Photovoltaics,0.2,Planning Permission Granted,Eastleigh,23/05/2022
7781,Cactus Energy / Sealock Limited,Walworth Business Park - Solar Photovoltaics panel,51.21208,-1.45085,Solar Photovoltaics,0.25,Planning Permission Granted,Test Valley,14/06/2022
7988,CPV Limited,"Woodington Road, East Wellow - Solar Panels",50.98124,-1.55653,Solar Photovoltaics,0.5,Planning Permission Granted,Test Valley,04/08/2022
8002,Boudicca One Limited,Lucia Foster Welch Student Hall Of Residence - Solar Panels,50.89805,-1.3941,Solar Photovoltaics,,Planning Permission Granted,Southampton,10/10/2022
8037,RE Projects Development / Solarig,"Winchester Road, Wherwell - Solar Farm",51.17678,-1.46416,Solar Photovoltaics,45.9,Planning Permission Granted,Test Valley,04/03/2025
8049,F&C Commercial Property Holdings Limited,"Unit 1, Strategic Park, Comines Way - Solar Panels",50.91604,-1.32218,Solar Photovoltaics,0.34,Planning Permission Granted,Eastleigh,15/09/2022
8206,Morrisons,"Morrisons Supermarket, Totton - Solar Photovoltaic System",50.92265,-1.52236,Solar Photovoltaics,0.34,Planning Permission Granted,New Forest,27/10/2022
