,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
4921,Cairnmore Hill Wind Farm ,RES Limited,Wind Onshore,Highland,2020-10-07
4949,Godsfield Solar Farm,Anesco Limited,Solar Photovoltaics,Winchester,2021-01-05
5020,Armadale Wind Farm,Brookfield Renewable UK,Wind Onshore,Scottish Government (S36),2022-03-22
5250,Buttington Quarry - ERF,	Broad Energy (Wales) Ltd,EfW Incineration,Welsh Government (NSIP),2021-03-08
5383,"Ravensroost Farm, Minety - Battery Energy Storage",Conrad Energy Developments II Limited,Battery,Wiltshire,2022-06-13
5708,Narachan Wind Farm,Energiekontor UK,Wind Onshore,Scottish Government (S36),2020-01-17
5710,Kintradwell Lodge - Wind Farm,Renewable Energy System Limited,Wind Onshore,Scottish Government (S36),2021-02-19
5731,Rigghill Wind Farm,Burcote Wind,Wind Onshore,North Ayrshire,2020-04-27
5772,Mor Hafren ERF,Mor Hafren Biopower,EfW Incineration,Welsh Government (NSIP),2020-09-04
5850,Drum Hollistan Wind Farm ,Muirden Energy,Wind Onshore,Highland,2020-02-17
5873,Lower Skilts Farm,Private Developer,Solar Photovoltaics,Stratford-on-Avon,2020-03-18
5891,Upper Hightown Road,Hill Power,Wind Onshore,Belfast,2020-03-06
5919,Rockdale Road,Private Developer,Wind Onshore,Mid Ulster,2020-02-19
5928,Chancerygate Way,Oakapple Renewable Energy,Solar Photovoltaics,Rushmoor,2020-01-06
5968,Elwy Solar Energy Farm,Statkraft UK Limited,Solar Photovoltaics,Welsh Government (NSIP),2021-03-22
5969,Elwy Solar Energy Farm,Statkraft UK Limited,Battery,Welsh Government (NSIP),2021-03-22
5983,Burton End,Private Developer,Solar Photovoltaics,South Cambridgeshire,2020-06-08
5988,Alfreton Solar Farm,Kronos Solar,Solar Photovoltaics,North East Derbyshire,2020-12-21
6065,Three Maids Hill Solar Farm,Environmental Asset Management,Battery,Winchester,2020-10-21
6086,Dundalk Road,Private Developer,Anaerobic Digestion,"Newry, Mourne and Down",2020-08-27
6105,Bolfornought Farm,Intelligent Land Investments,Battery,Stirling,2021-04-14
6170,Hownsgill Energy Facility,Project Genesis Limited,EfW Incineration,County Durham,2020-11-11
6208,Gibson Lane Anaerobic Digestion Plan,Melton Energy Tech,Anaerobic Digestion,East Riding of Yorkshire,2020-11-30
6223,Wallingford Road Energy Centre,Balance Power Projects Limited,Battery,South Oxfordshire,2020-12-08
6241,Coldmoorholme Lane Battery Storage,Envirotech Energy Solutions,Battery,Buckinghamshire,2020-12-16
